"Material","Measurement","Key","Sample","SubSample","Li","Be","Na2O","MgO","Al2O3","SiO2","P2O5","S","K2O","CaO","Sc","TiO","V","Cr","MnO","Fe2O3","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Pb","Th","U","SiO2 (%)","Na2O (%)","MgO (%)","Al2O3 (%)","P2O5 (%)","MnO (%)","CaO (%)","TiO2 (%)","K2O (%)","Fe2O3 (%)"
"Bloom","Unique",1,"MA-200988-1A","1A-1",28.5,19,1490.8,6422.1,86188,242592,14418.6,350.5,31549.3,43713.1,9.1,2583.7,49.5,29.6,66787.9,497703,1.4,0.2,2.7,14.5,8,0.3,123.4,348.2,63.2,113,9.2,1.5,1.2,9.8,5113,29.3,54.8,7.2,33.4,8.6,2.3,12.9,2.1,12.4,2.5,6.3,0.8,4.8,0.6,3,0.7,1,0.5,8.5,14.4,24.3,0.15,0.64,8.6,1.44,6.7,4.37,0.26,3.15,49.77
"Bloom","Unique",2,"MA-200988-1A","1A-1",18,6.4,600.3,18153,46270.2,273039,9102.3,470.3,13659.8,24357.2,13,1446.4,52.4,50.9,112812.5,497703,2.3,0.2,1.3,17,6.3,0.3,52.1,133.2,41.4,51.8,3.7,2,0.5,4,1793,10.5,22,2.9,13,3.5,0.9,5.9,1,6.9,1.5,4.6,0.7,4.7,0.8,1.6,0.3,0.5,0.2,3.4,6.6,27.3,0.06,1.82,4.6,0.91,11.3,2.44,0.14,1.37,49.77
"Bloom","Unique",3,"MA-200988-1A","1A-2",31.6,24.2,1937.1,2248.1,114006.1,199729,14501.6,452.9,34569,54306.5,7.2,2779.3,32.7,13.4,39310.5,528197,0.6,0.2,3.6,16.5,8.3,0.2,146.9,449.2,82.6,142.7,11.5,1.3,1.5,11.9,6654.7,40.2,72.8,9.8,46,12.4,3.3,18.2,2.8,16.9,3.3,8.3,1,5.9,0.8,4.2,0.9,1.3,0.7,12.1,18,20,0.19,0.22,11.4,1.45,3.9,5.43,0.28,3.46,52.82
"Bloom","Unique",4,"MA-200988-1A","1A-2",20.9,8.3,923.1,11881.5,50814.6,252089,7751,568.1,15213.1,31482.6,11.5,1906.4,48,30.7,95893.8,528197,1.3,0.2,1.7,17.6,5.7,0.3,65.4,175.2,43.3,56.7,4,1.8,0.6,5.1,2629.9,14.3,25.3,3.4,15.8,4.4,1.2,6.9,1.1,7.7,1.7,4.9,0.8,4.7,0.8,1.7,0.3,0.5,0.3,4.3,6.3,25.2,0.09,1.19,5.1,0.78,9.6,3.15,0.19,1.52,52.82
"Bloom","Unique",5,"MA-200988-1A","1A-2",16.1,3,230,21054.6,62302.4,242992,5328.1,575.2,5106,18197.5,12.2,1780.4,74.2,53.5,112997.3,528197,2,0,0.8,19,7.7,0.2,21.8,53,26,29.8,1.8,1.9,0.2,2.1,822.4,5.4,9.9,1.3,6.4,1.9,0.5,3,0.5,4.1,1,3.2,0.5,3.9,0.6,1,0.2,0.2,0.1,1.7,2.7,24.3,0.02,2.11,6.2,0.53,11.3,1.82,0.18,0.51,52.82
"Bloom","Unique",6,"MA-200988-1A","1A_3",20.9,10.4,945.5,11281.3,58727.1,264695,9516.3,492.8,21043.2,32968.3,11.7,2191.1,44.1,18.6,88293.5,506243,0.8,0.1,1.9,16.7,7.2,0,84.8,216.5,57.8,79.4,5.5,1.8,0.8,5.9,2831.2,19,36,5,21.3,5.5,1.5,9.3,1.6,10.3,2.1,6,0.8,5.5,0.9,2.3,0.5,0.7,0.3,5.8,9.3,26.5,0.09,1.13,5.9,0.95,8.8,3.3,0.22,2.1,50.62
"Bloom","Unique",7,"MA-200988-1A","1A_4",16.9,7.3,646,8399.9,59883.8,195247,7580.7,404,14128.5,25929.9,8,1682.8,38.2,21.7,67588.2,615420,1.1,0.1,1.3,16.7,6.4,0.1,63.6,156.1,38.1,54.4,4.2,1.2,0.6,5.4,2505.9,14.6,28.5,3.6,16.2,4.4,1.2,6.7,1.1,7,1.5,4.1,0.6,4,0.6,1.8,0.4,0.6,0.3,4.4,7.4,19.5,0.06,0.84,6,0.76,6.8,2.59,0.17,1.41,61.54
"Bloom","Unique",8,"MA-200988-1A","1A_4",16.4,7.6,789.4,9510.7,46901.4,205056,6945.2,405.3,13883,25549,8.6,1636.8,36.9,20.3,70740.6,615420,1.1,0.2,1.2,14.8,5.4,0.2,63.5,165.1,38.4,53.5,4.2,1.4,0.7,5.2,2575.3,14.1,28.5,3.6,15.8,4.6,1.2,6.7,1.1,6.9,1.5,4.2,0.6,4,0.6,1.6,0.4,0.5,0.4,4.3,8,20.5,0.08,0.95,4.7,0.69,7.1,2.55,0.16,1.39,61.54
"Bloom","Unique",9,"MA-200988-1A","1A_5",20.6,13.4,1245.9,10212.1,64896.4,230867,11146.8,475.2,23085.6,34901.3,9.5,1720.9,32.8,24.7,70941.4,545454,34.9,9.3,4,16.2,6,0.2,104.4,281.4,57.2,86,6.9,1.6,1.1,9.4,4105.2,25.3,48,6.1,28.4,7.9,2,11.1,1.8,10.9,2.3,6.2,0.8,5.5,0.8,2.6,0.6,1,0.5,7.7,12.4,23.1,0.12,1.02,6.5,1.11,7.1,3.49,0.17,2.31,54.55
"Bloom","Unique",10,"MA-200988-1A","1A_5",30.8,15.4,1751.1,4721.1,84669.6,212202,11363.8,368.4,33316.7,43261.2,7.6,2518,56.9,43.7,53681.1,545454,5.5,1.2,2.9,19,7,0,158,359.8,58.3,97.9,8.2,1.5,1.3,12.7,5550.3,30.1,59.1,7.3,31.8,8.6,2.4,12.8,1.9,11.3,2.2,5.9,0.8,4.7,0.6,3,0.7,1.1,0.7,9,15.7,21.2,0.18,0.47,8.5,1.14,5.4,4.33,0.25,3.33,54.55
