Sample;Material;Spectrum;Na2O;MgO;Al2O3;SiO2;P2O5;K2O;CaO;MnO;FeO;TiO2;BaO
Ma-201419;Iron-SI;MA-201419-2- 1;0.32;2.37;10.66;67.12;0.01;2.89;10.33;2.93;2.85;0.54;0.01
Ma-201419;Iron-SI;MA-201419-2- 2;0.26;2.18;9.35;56.48;0.05;2.03;8.2;1.9;18.97;0.4;0.18
Ma-201419;Iron-SI;MA-201419-2- 3;0.17;2.32;10.7;63.1;0.01;3.8;9.03;3.71;6.05;0.43;0.7
Ma-201419;Iron-SI;MA-201419-2- 4;0.36;2.6;12.17;67.52;0.01;3.81;9.15;1.89;1.85;0.58;0.07
Ma-201419;Iron-SI;MA-201419-2- 5;0.08;2.23;11.22;64.26;0.01;3.26;8.0;1.13;9.14;0.68;0.01
Ma-201419;Iron-SI;MA-201419-2- 6;0.19;1.18;5.79;30.57;0.01;1.61;3.74;0.91;55.84;0.08;0.1
Ma-201419;Iron-SI;MA-201419-2- 7;0.01;1.64;10.22;56.82;0.01;3.18;7.25;2.45;17.89;0.54;0.01
Ma-201419;Iron-SI;MA-201419-2- 8;0.02;1.09;6.09;32.8;0.09;1.77;3.72;1.26;52.84;0.28;0.04
Ma-201419;Iron-SI;MA-201419-2- 11;0.11;1.35;6.52;37.58;0.01;2.03;4.64;1.44;45.96;0.32;0.06
Ma-201419;Iron-SI;MA-201419-2- 12;0.15;2.04;11.73;66.64;0.05;3.85;8.65;2.71;3.69;0.49;0.01
Ma-201419;Iron-SI;MA-201419-2- 13;0.12;1.93;7.82;49.57;0.04;2.48;8.41;3.56;25.54;0.38;0.15
Ma-201419;Iron-SI;MA-201419-2- 14;0.03;2.11;9.79;64.6;0.05;3.03;10.17;5.06;4.5;0.47;0.19
Ma-201419;Iron-SI;MA-201419-2- 15;0.06;1.58;7.55;49.99;0.15;2.24;6.62;3.33;28.3;0.1;0.08
MA-201421;Iron-SI-P;MA-201421_ 1;0.81;1.35;4.62;43.45;0.73;1.5;3.48;0.18;43.61;0.19;0.08
MA-201421;Iron-SI-P;MA-201421_ 2;0.72;1.0;3.12;29.75;0.54;1.08;2.73;0.12;60.79;0.13;0.03
MA-201421;Iron-SI-P;MA-201421_ 3;0.12;0.75;3.66;38.09;0.78;1.56;4.03;0.2;50.5;0.25;0.01
MA-201421;Iron-SI-P;MA-201421_ 4;0.68;1.36;6.52;59.8;0.15;3.47;5.55;0.17;21.98;0.32;0.01
MA-201421;Iron-SI-P;MA-201421_ 5;0.61;0.95;3.18;24.76;0.16;0.98;1.6;0.01;67.72;0.04;0.01
MA-201421;Iron-SI-P;MA-201421_ 6;1.54;1.85;6.32;54.79;0.09;2.8;4.48;0.21;27.72;0.2;0.01
MA-201421;Iron-SI-P;MA-201421_ 7;1.0;1.33;3.91;28.25;0.29;1.1;2.62;0.22;61.2;0.1;0.01
MA-201421;Iron-SI-P;MA-201421_ 8;0.84;1.11;4.63;44.68;0.02;2.58;3.99;0.22;41.8;0.14;0.01
MA-201421;Iron-SI-P;MA-201421_ 9;1.39;1.62;5.73;43.78;0.18;1.67;2.95;0.09;42.39;0.06;0.14
MA-201421;Iron-SI-P;MA-201421_ 10;0.02;0.63;2.57;25.86;0.14;1.15;3.1;0.4;66.04;0.06;0.03
MA-201421;Iron-SI-P;MA-201421_ 13;1.3;1.83;7.25;66.24;0.15;2.79;5.27;0.19;14.84;0.15;0.01
MA-201421;Iron-SI-P;MA-201421_ 14;1.34;2.21;6.54;57.0;0.03;2.24;5.85;0.26;24.34;0.18;0.01
MA-201421;Iron-SI-P;MA-201421_ 17;1.71;2.25;7.24;59.09;0.12;2.82;5.29;0.3;20.96;0.21;0.01
MA-201422;Iron-SI;MA-201422_ 1;0.05;0.58;3.64;16.85;0.28;0.99;1.31;0.63;75.46;0.05;0.16
MA-201422;Iron-SI;MA-201422_ 2;0.07;0.23;4.22;20.68;0.99;1.32;1.96;0.23;69.79;0.44;0.07
MA-201422;Iron-SI;MA-201422_ 3;0.21;0.35;4.38;20.42;2.14;1.27;1.76;0.19;69.02;0.16;0.07
MA-201422;Iron-SI;MA-201422_ 5;0.73;1.03;7.15;31.4;1.57;1.73;2.38;0.21;53.13;0.61;0.05
MA-201422;Iron-SI;MA-201422_ 6;0.32;0.6;7.32;34.27;2.12;2.09;3.07;0.24;48.96;0.59;0.01
MA-201422;Iron-SI;MA-201422_ 7;0.6;0.74;5.5;23.69;3.94;1.41;1.77;0.22;61.76;0.32;0.05
MA-201422;Iron-SI;MA-201422_ 9;0.56;0.57;2.15;18.76;10.61;1.42;3.44;0.13;62.15;0.11;0.1
MA-201422;Iron-SI;MA-201422_ 11;0.86;1.67;4.78;29.86;2.21;1.13;7.97;0.07;51.21;0.22;0.01
