"Material","Key","Mesurment","Sample","Li","Be","Na2O","MgO","Al2O3","SiO2","P2O5","S","K2O","CaO","Sc","TiO","V","Cr","MnO","Fe2O3","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U","Na2O (%)","MgO (%)","Al2O3 (%)","SiO2 (%)","P2O5 (%)","K2O (%)","CaO (%)","TiO2 (%)","MnO (%)","Fe2O3 (%)"
"Iron-SI",1,"Unique","MA-201419",36.47,5.64,1618.75,20404.92,106741.66,676977.17,56.26,1390.51,32927.47,110867.01,19.74,4810.9,1.71,3.93,30628.12,9947.42,0.86,9.27,1.65,4.12,1.06,1.24,94.68,825.82,100.21,166.26,4.2,0.49,0.15,0.14,6.05,2030.98,58.76,101.33,13.19,52.39,12.41,3.15,13.32,1.92,12.21,2.71,7.82,1.06,7.28,1.15,3.79,0.83,3.79,9.09,9.44,0.161875,2.040492,10.674166,67.697717,0.005626,3.292747,11.086701,0.48109,3.062812,0.994742
"Iron-SI",2,"Unique","MA-201419",35.41,5.42,1513.41,21852.27,107979.02,678716.23,38.77,1224.28,30420.06,112120.28,18.76,4882.84,1.04,2.88,26859.8,10823.49,0.93,8.94,2.51,1.17,0.42,3.77,83.63,808.42,104.67,170.47,4.1,0.01,0.27,0.1,5.79,1971.27,63.86,110.75,13.92,54.41,12.42,3.33,14.83,2,14.01,2.88,8.65,1.33,7.97,1.23,4.55,0.86,4.55,9.89,9.83,0.151341,2.185227,10.797902,67.871623,0.003877,3.042006,11.212028,0.488284,2.68598,1.082349
"Iron-SI",3,"Unique","MA-201419",36.24,6.92,1777.33,21912.18,126669.41,696104.02,109.4,718.32,35579.41,84222.72,25.08,6240.92,0.31,0.01,19880.08,3349.48,0.14,2.75,1.37,2.94,1.22,0.01,129.53,622.41,103,162.11,1.21,0.06,0.01,0.01,8.42,1992.95,64.68,112,13.99,53.67,10.96,3.05,16.33,2.28,13.25,2.95,8.3,1.22,8.57,1.44,5.12,0.72,5.12,10.55,9.38,0.177733,2.191218,12.666941,69.610402,0.01094,3.557941,8.422272,0.624092,1.988008,0.334948
"Iron-SI",4,"Unique","MA-201419",38.3,6.04,1821.23,21325.7,123164.14,704143.57,0.01,2297.87,38755.52,81510.08,24.41,5754.84,0.52,0.01,13777.19,3916.37,0.34,4.21,1.12,3.31,0.68,2.26,130.75,677.09,111.52,187.96,2.01,0.17,0.01,0.01,8.28,1980.58,66.66,114.07,14.16,60.64,11.81,3.6,15.37,2.25,14.88,2.75,9.09,1.28,7.63,1.36,5.34,0.77,5.34,10.38,10.5,0.182123,2.13257,12.316414,70.414357,0.01,3.875552,8.151008,0.575484,1.377719,0.391637
"Iron-SI",5,"Unique","MA-201419",36.04,5.81,1781.3,20151.36,121668.7,693170.28,0.01,1757.67,38838.35,82959.95,23.12,5798.03,0.77,1.29,26717.31,3685.92,0.06,0.38,0.86,3.53,1.09,0.37,126.17,664.41,109.6,176.73,3.15,0.27,0.01,0.01,9.19,1963.99,64.58,113.26,14.37,57.93,13.13,3.31,15.42,2.17,13.2,2.9,8.28,1.2,7.71,1.27,4.55,0.92,4.55,9.77,10.19,0.17813,2.015136,12.16687,69.317028,0.01,3.883835,8.295995,0.579803,2.671731,0.368592
"Iron-SI",6,"Unique","MA-201419",36.46,5.76,1687,18558.21,118531.21,695015.09,90.66,403.52,39248.39,79829.26,21.77,5492.61,2.56,2.78,32582.43,5200.01,0.07,2.18,0.47,2.41,0.85,0.01,127.94,645.79,105.26,181.64,4.46,0.24,0.01,0.06,9.71,1882.1,61.85,106.48,13.48,56.43,12.41,2.94,14.25,2.09,13.35,2.65,8.71,1.17,6.89,1.08,4.87,0.8,4.87,9.56,10.03,0.1687,1.855821,11.853121,69.501509,0.009066,3.924839,7.982926,0.549261,3.258243,0.520001
"Iron-SI",7,"Unique","MA-201419",35,8.17,1726.44,18958,117705.07,693345.14,111.64,1681.09,38263.65,78781.16,21.46,5501.84,1.5,3.15,34831.09,5684.93,0.79,5.97,1.53,16.16,1.12,0.01,123.05,650.34,103.55,178.41,3.87,0.35,0.18,0.09,8.52,1895.6,62.54,106.95,12.82,56.28,13.18,3.11,15.3,2.15,12.6,2.92,8.1,1.22,6.94,1.23,4.43,0.77,4.43,9.35,9.88,0.172644,1.8958,11.770507,69.334514,0.011164,3.826365,7.878116,0.550184,3.483109,0.568493
"Iron-SI",8,"Unique","MA-201419",34.67,5.02,1621.78,20694.13,112419.33,692666.46,77.58,2659.09,37555.08,77611.06,24.28,5424.98,2.11,3.22,29372.72,16589.29,1.85,17.56,4.2,13.97,0.9,1.06,126.61,617.68,104.53,173.14,4.41,0.49,0.01,0.29,10.06,1817.82,59.49,106.02,13.47,54.99,11.69,3.41,14.69,2.18,14.36,2.92,9.11,1.2,8.02,0.97,4.95,0.78,4.95,9.64,9.38,0.162178,2.069413,11.241933,69.266646,0.007758,3.755508,7.761106,0.542498,2.937272,1.658929
"Iron-SI",9,"Unique","MA-201419",32.42,6.56,1383.11,21236.14,109958.75,695033.88,0.01,2900.25,32013.07,75330.52,24.19,5215.92,1.59,2.89,44209.64,9507.81,1,13.03,0.93,2.69,1.52,3.15,111.77,608.59,110.89,177.73,5.45,0.63,0.18,0.01,9.9,1761.63,62.55,108.75,13.47,53.2,12.06,2.94,16.26,2.19,14.02,3.08,8.49,1.18,8.15,1.29,5.05,0.84,5.05,9.46,9.06,0.138311,2.123614,10.995875,69.503388,0.01,3.201307,7.533052,0.521592,4.420964,0.950781
"Iron-SI",10,"Unique","MA-201419",31.3,5.66,1679.54,20515.19,97750.79,670154.54,151.12,1641.37,31392.68,94642.5,17.79,4277.7,38.73,39.42,53808.24,20561.68,0.19,1.94,0.68,2.28,1.8,0.01,77.13,751.99,92.07,155.83,10.19,0.67,0.27,0.01,4.12,1907.53,52.64,94.3,11.27,47.66,9.67,2.8,11.9,1.89,11.39,2.34,7.3,1.02,6.15,0.94,3.9,0.76,3.9,8.3,8.44,0.167954,2.051519,9.775079,67.015454,0.015112,3.139268,9.46425,0.42777,5.380824,2.056168
