"Material","Sample","Site","Li","Be","S","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U"
"Sandstone","MA-200974","Eisenberg","25.85","5.87","2204.53","16.71","82.13","15.52","22.65","27.44","122.93","41.69","16.84","8.89","122.57","197.27","21.45","201.5","7.96","0.97","2.49","1.83","3.73","559.89","35.79","76.13","9.15","27.74","4.73","0.9","4.04","0.67","3.93","0.75","2.3","0.34","2.31","0.36","4.85","0.69","4.85","21.15","7.87"
"Ore","MA-200975","Eisenberg","28.7","4.15","481.61","7.6","48.12","31.54","7.35","22.97","32.45","143.68","9.85","36.73","101.31","83.28","25.77","36.9","4.76","3.26","1.98","1.6","11.45","697.27","13.56","24.24","3.25","15.86","4.42","1.01","4.85","0.78","4.73","0.96","2.69","0.37","2.4","0.35","1.17","0.36","1.13","5.19","1.64"
"Sandstone","MA-200976","Eisenberg","5.61","0.15","629.62","0.38","13.93","39.25","0.99","21.44","34.96","51.77","0.27","2.18","0.36","648.24","5.45","21.78","0.24","2.04","0.16","0.76","0.03","734.12","1.85","0.97","0.3","1.35","0.35","0.11","0.57","0.07","0.48","0.12","0.33","0.05","0.3","0.05","0.49","0.0","0.13","0.07","7.17"
"Ore","MA-200977","Eisenberg","18.61","9.66","262.73","6.27","70.22","36.66","14.53","58.07","30.09","87.71","8.27","43.76","68.96","241.86","53.39","23.29","3.04","35.45","1.31","4.42","8.38","1421.89","31.02","42.3","10.69","52.72","13.54","2.99","14.06","1.97","10.57","1.95","5.09","0.61","3.65","0.54","0.68","0.22","0.88","3.71","2.2"
"Oven Slag","MA-200978","Eisenberg","19.33","4.8","376.97","7.89","43.84","30.63","32.22","27.71","369.67","25.05","12.75","51.71","70.5","149.47","25.52","264.24","5.44","2.32","2.46","2.24","6.41","817.92","18.82","32.18","4.42","19.18","4.43","0.86","4.72","0.71","4.25","0.85","2.34","0.33","2.12","0.32","7.85","0.47","2.88","6.78","4.08"
"Oven Slag","MA-200979","Eisenberg","27.49","3.17","238.36","8.74","34.66","27.19","1.6","3.48","24.99","27.92","5.81","0.7","87.03","115.64","25.39","175.66","6.01","0.65","0.98","0.21","7.92","780.07","19.55","34.73","4.55","19.28","4.37","0.91","4.28","0.68","4.19","0.83","2.4","0.34","2.24","0.34","4.82","0.51","0.79","7.11","3.57"
"Oven Slag","MA-200980","Eisenberg","33.88","4.06","231.15","10.43","41.78","34.95","1.58","2.45","33.51","28.13","6.97","1.03","108.17","135.96","27.45","145.65","6.96","0.77","1.18","0.23","10.72","1050.0","21.77","38.79","4.99","22.63","5.52","1.14","4.81","0.73","4.62","0.96","2.74","0.37","2.73","0.37","4.17","0.61","0.89","7.44","4.12"
"Oven Slag","MA-200981","Eisenberg","9.69","0.96","176.17","5.1","12.89","16.49","5.36","18.0","12.13","12.87","3.96","3.88","19.43","48.53","14.93","64.0","2.73","0.5","0.97","0.2","1.63","187.93","11.16","16.47","2.21","9.7","2.27","0.51","2.34","0.35","2.28","0.47","1.38","0.21","1.37","0.19","1.9","0.23","0.85","3.02","1.04"
"Oven Slag","MA-200983","Eisenberg","28.16","10.45","349.27","11.94","60.78","39.62","127.13","247.92","345.92","54.88","10.55","111.89","108.86","253.4","27.75","248.44","7.6","5.3","2.74","3.96","10.63","605.71","26.02","45.3","5.94","27.05","6.1","1.08","5.93","0.86","4.93","0.98","2.84","0.42","2.79","0.43","6.96","0.66","1.58","10.05","8.6"
"Smithing Slag","MA-200984","Eisenberg","18.7","9.63","3164.08","7.69","34.56","36.38","3.94","10.58","30.63","10.42","5.5","2.57","74.41","113.09","24.56","88.78","5.2","4.21","1.66","1.59","6.21","988.41","21.01","39.99","5.63","19.78","4.68","0.98","4.43","0.74","4.21","0.84","2.33","0.3","1.94","0.29","2.37","0.45","2.37","6.53","2.26"
"Smithing Slag","MA-200985","Eisenberg","6.45","0.43","314.13","4.33","20.49","15.5","58.67","409.59","60.58","12.21","3.37","53.76","16.28","96.76","7.57","74.63","3.02","4.3","1.46","2.19","0.76","253.03","6.7","10.27","1.43","6.09","1.33","0.26","1.35","0.2","1.24","0.25","0.77","0.11","0.71","0.12","2.21","0.19","0.6","2.3","0.55"
"Smithing Slag","MA-200986","Eisenberg","10.06","2.14","251.32","5.36","16.65","15.44","71.92","17.12","48.26","22.2","3.7","3.92","53.61","57.41","11.26","70.35","2.94","1.43","1.41","0.75","5.01","250.31","10.08","17.7","2.38","9.5","2.32","0.42","2.08","0.3","1.96","0.39","1.21","0.18","1.19","0.17","1.99","0.26","0.64","4.2","1.37"
"Smithing Slag","MA-200987","Eisenberg","5.88","0.76","1749.54","2.05","11.44","11.14","0.01","934.44","66.26","17.49","2.46","26.95","11.25","55.77","3.04","18.37","1.01","8.0","1.13","0.77","0.77","246.85","3.16","6.32","0.9","2.97","0.66","0.15","0.58","0.09","0.53","0.11","0.32","0.04","0.3","0.05","0.58","0.09","0.58","0.99","0.4"
