"Material","Sample","Site","Li","Be","Na2O (%)","MgO (%)","Al2O3 (%)","SiO2 (%)","P2O5 (%)","S","K2O (%)","CaO (%)","Sc","TiO2 (%)","V","Cr","MnO (%)","Fe2O3 (%)","Co","Ni","Cu","As","Rb","Y","Zr","Nb","Mo","Sn","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U"
"Ore","MA-200975","Eisenberg","28.7","4.15","0.1","0.92","7.56","14.04","0.42","481.61","2.07","1.9","7.6","0.17","48.12","31.54","1.84","70.78","7.35","22.97","32.45","36.73","101.31","25.77","36.9","4.76","3.26","1.98","697.27","13.56","24.24","3.25","15.86","4.42","1.01","4.85","0.78","4.73","0.96","2.69","0.37","2.4","0.35","1.17","0.36","1.13","5.19","1.64"
"Ore","MA-200977","Eisenberg","18.61","9.66","0.08","0.81","5.46","10.41","0.98","262.73","1.43","1.9","6.27","0.11","70.22","36.66","6.53","72.0","14.53","58.07","30.09","43.76","68.96","53.39","23.29","3.04","35.45","1.31","1421.89","31.02","42.3","10.69","52.72","13.54","2.99","14.06","1.97","10.57","1.95","5.09","0.61","3.65","0.54","0.68","0.22","0.88","3.71","2.2"
"Oven Slag","MA-200978","Eisenberg","19.33","4.8","0.13","0.74","6.59","21.0","0.74","376.97","1.51","3.2","7.89","0.18","43.84","30.63","2.38","63.27","32.22","27.71","369.67","51.71","70.5","25.52","264.24","5.44","2.32","2.46","817.92","18.82","32.18","4.42","19.18","4.43","0.86","4.72","0.71","4.25","0.85","2.34","0.33","2.12","0.32","7.85","0.47","2.88","6.78","4.08"
"Oven Slag","MA-200979","Eisenberg","27.49","3.17","0.1","1.16","6.55","20.09","0.24","238.36","2.17","2.65","8.74","0.21","34.66","27.19","3.01","63.65","1.6","3.48","24.99","0.7","87.03","25.39","175.66","6.01","0.65","0.98","780.07","19.55","34.73","4.55","19.28","4.37","0.91","4.28","0.68","4.19","0.83","2.4","0.34","2.24","0.34","4.82","0.51","0.79","7.11","3.57"
"Oven Slag","MA-200980","Eisenberg","33.88","4.06","0.15","1.34","8.39","24.84","0.31","231.15","2.83","3.32","10.43","0.24","41.78","34.95","3.91","54.46","1.58","2.45","33.51","1.03","108.17","27.45","145.65","6.96","0.77","1.18","1050.0","21.77","38.79","4.99","22.63","5.52","1.14","4.81","0.73","4.62","0.96","2.74","0.37","2.73","0.37","4.17","0.61","0.89","7.44","4.12"
"Oven Slag","MA-200981","Eisenberg","9.69","0.96","0.1","0.44","3.01","16.88","0.24","176.17","0.46","1.27","5.1","0.09","12.89","16.49","0.76","76.69","5.36","18.0","12.13","3.88","19.43","14.93","64.0","2.73","0.5","0.97","187.93","11.16","16.47","2.21","9.7","2.27","0.51","2.34","0.35","2.28","0.47","1.38","0.21","1.37","0.19","1.9","0.23","0.85","3.02","1.04"
"Oven Slag","MA-200983","Eisenberg","28.16","10.45","0.15","1.14","9.09","28.4","0.85","349.27","2.52","3.65","11.94","0.3","60.78","39.62","5.47","48.14","127.13","247.92","345.92","111.89","108.86","27.75","248.44","7.6","5.3","2.74","605.71","26.02","45.3","5.94","27.05","6.1","1.08","5.93","0.86","4.93","0.98","2.84","0.42","2.79","0.43","6.96","0.66","1.58","10.05","8.6"
"Smithing Slag","MA-200984","Eisenberg","18.7","9.63","0.17","1.06","6.26","33.67","0.48","3164.08","1.85","4.71","7.69","0.16","34.56","36.38","2.75","48.39","3.94","10.58","30.63","2.57","74.41","24.56","88.78","5.2","4.21","1.66","988.41","21.01","39.99","5.63","19.78","4.68","0.98","4.43","0.74","4.21","0.84","2.33","0.3","1.94","0.29","2.37","0.45","2.37","6.53","2.26"
"Smithing Slag","MA-200985","Eisenberg","6.45","0.43","0.11","0.67","2.06","16.27","0.27","314.13","0.47","2.75","4.33","0.08","20.49","15.5","0.15","77.0","58.67","409.59","60.58","53.76","16.28","7.57","74.63","3.02","4.3","1.46","253.03","6.7","10.27","1.43","6.09","1.33","0.26","1.35","0.2","1.24","0.25","0.77","0.11","0.71","0.12","2.21","0.19","0.6","2.3","0.55"
"Smithing Slag","MA-200986","Eisenberg","10.06","2.14","0.16","0.66","2.94","14.45","0.37","251.32","1.07","1.39","5.36","0.08","16.65","15.44","1.77","77.0","71.92","17.12","48.26","3.92","53.61","11.26","70.35","2.94","1.43","1.41","250.31","10.08","17.7","2.38","9.5","2.32","0.42","2.08","0.3","1.96","0.39","1.21","0.18","1.19","0.17","1.99","0.26","0.64","4.2","1.37"
"Smithing Slag","MA-200987","Eisenberg","5.88","0.76","0.05","0.28","1.83","12.1","0.61","1749.54","0.27","1.57","2.05","0.04","11.44","11.14","0.01","67.0","0.01","934.44","66.26","26.95","11.25","3.04","18.37","1.01","8.0","1.13","246.85","3.16","6.32","0.9","2.97","0.66","0.15","0.58","0.09","0.53","0.11","0.32","0.04","0.3","0.05","0.58","0.09","0.58","0.99","0.4"
"Plate Slag","MA-200989","Eisenberg","27.55","9.72","0.1","1.05","5.79","21.32","0.24","235.99","1.52","2.1","10.38","0.2","33.49","27.77","3.2","64.31","5.5","3.81","29.42","0.91","56.96","58.92","291.21","6.22","0.62","1.34","517.11","24.96","44.76","6.44","30.57","7.95","1.69","9.02","1.4","8.76","1.93","5.38","0.75","4.66","0.68","8.42","0.56","0.81","7.73","6.63"
"Plate Slag","MA-200990","Eisenberg","11.48","1.64","0.07","0.28","3.03","15.8","0.15","167.61","0.81","1.09","4.6","0.08","11.88","10.34","0.82","77.79","3.58","3.46","9.45","1.49","30.72","10.32","94.61","2.2","0.33","0.98","240.97","7.66","12.47","1.66","7.13","1.72","0.36","1.63","0.26","1.56","0.32","0.94","0.13","0.93","0.14","2.73","0.19","0.45","2.66","0.84"
"Plate Slag","MA-200991","Eisenberg","5.88","0.39","0.04","0.16","1.42","10.62","0.16","162.57","0.21","0.61","2.65","0.03","3.29","5.41","0.21","86.5","14.79","62.42","11.9","2.85","9.17","6.7","47.94","1.06","0.23","0.85","63.44","5.26","7.86","1.08","4.58","0.97","0.2","1.01","0.16","0.96","0.2","0.57","0.08","0.54","0.08","1.38","0.1","0.72","1.52","0.42"
"Plate Slag","MA-200992","Eisenberg","34.16","10.13","0.15","1.46","9.32","28.12","0.52","290.89","2.54","3.55","12.13","0.31","44.44","36.77","6.52","47.26","3.8","2.72","18.64","1.45","110.11","33.22","324.42","8.51","1.12","1.54","941.29","29.21","51.53","6.83","28.25","6.31","1.17","6.12","0.93","5.6","1.13","3.32","0.46","3.19","0.47","9.14","0.74","1.3","11.67","6.78"
"Plate Slag","MA-200994","Eisenberg","49.67","8.43","0.16","2.65","7.27","27.53","0.27","320.49","2.57","2.91","11.72","0.22","34.57","30.84","3.55","52.69","3.96","4.5","7.14","2.67","98.42","48.98","248.05","7.03","0.63","1.26","473.55","25.49","46.34","6.02","26.3","6.71","1.36","7.03","1.14","7.1","1.53","4.48","0.65","4.26","0.63","6.78","0.62","1.0","8.96","6.01"
"Plate Slag","MA-200995","Eisenberg","37.95","13.02","0.21","1.3","9.27","28.79","0.77","271.91","2.13","2.53","13.75","0.27","49.09","39.01","6.98","47.56","11.83","12.36","10.68","5.52","102.89","40.09","133.75","7.49","1.28","1.32","555.06","28.83","45.35","5.82","25.38","5.55","1.11","6.03","0.92","5.59","1.2","3.56","0.48","3.25","0.46","4.0","0.66","0.77","7.84","14.8"
"Plate Slag","MA-200996","Eisenberg","33.37","8.51","0.12","1.32","7.15","24.73","0.32","391.43","2.14","2.46","11.33","0.23","33.87","31.7","3.53","57.8","9.14","6.66","26.44","3.57","81.13","55.3","215.0","7.16","0.72","1.63","584.64","26.08","46.24","6.15","26.11","6.45","1.37","7.5","1.14","7.23","1.57","4.44","0.59","3.73","0.57","6.18","0.65","1.09","9.06","8.35"
"Plate Slag","MA-200997","Eisenberg","34.0","12.9","0.14","1.45","7.27","29.7","0.53","2510.0","2.11","3.3","11.3","0.25","45.0","36.0","8.6","46.13","7.8","9.4","78.0","1.7","104.0","38.0","122.0","7.6","1.31","2.1","350.0","31.0","55.0","7.5","24.6","5.5","1.25","5.3","0.91","5.1","1.07","3.0","0.41","2.74","0.37","2.89","0.59","1.24","7.3","9.8"
"Plate Slag","MA-200998","Eisenberg","28.62","5.56","0.1","1.21","7.54","23.37","0.39","288.52","2.01","3.09","9.94","0.19","32.63","21.82","5.35","56.57","7.9","6.39","53.24","3.02","101.93","29.21","171.01","6.11","1.01","1.51","646.97","22.87","39.84","5.25","23.12","5.25","1.05","5.22","0.79","4.79","0.98","2.81","0.39","2.58","0.39","4.34","0.54","1.13","7.94","7.35"
"Plate Slag","MA-200999","Eisenberg","18.98","8.75","0.08","1.17","4.86","27.07","0.49","323.53","1.0","2.07","9.88","0.14","22.44","34.31","3.64","59.31","4.39","5.19","68.15","3.63","56.31","72.52","128.14","6.58","1.22","5.81","411.69","39.29","57.62","7.88","35.22","8.31","1.93","9.85","1.48","9.01","1.92","5.23","0.73","4.75","0.61","3.68","0.55","0.83","7.18","4.9"
"Flow Slag","MA-201000","Eisenberg","21.89","3.0","0.07","1.55","6.45","26.61","0.36","276.09","1.17","2.58","10.08","0.2","31.23","46.6","3.66","57.2","2.79","13.18","7.81","1.59","58.2","47.65","219.84","5.79","0.68","0.76","382.52","25.91","38.87","5.28","22.69","5.19","1.15","5.78","0.94","5.87","1.26","3.69","0.51","3.28","0.48","6.05","0.5","0.71","5.51","4.38"
"Flow Slag","MA-201001","Eisenberg","24.21","6.62","0.18","1.53","5.96","28.18","0.51","302.09","1.96","3.8","10.54","0.21","31.33","29.71","4.7","52.8","7.27","2.53","11.33","2.23","80.61","28.03","242.84","6.82","1.48","1.22","461.32","25.89","44.81","6.08","25.42","5.91","1.08","5.37","0.83","4.98","0.99","2.85","0.41","2.78","0.4","6.49","0.6","1.05","9.64","4.54"
