Material,x,y,slope,intercept,R2
Oven Slag,MgO,Al2O3,4.612258335768003,0.8764276134935658,0.9155818720990377
Flow Slag,MgO,Al2O3,2.550511663656571,2.482042007734293,0.38926945748229347
Plate Slag,MgO,Al2O3,2.8841920217210055,2.768905105035309,0.5834785599109819
Smithing Slag,MgO,Al2O3,5.73822279309305,-0.8167016041003206,0.8121551407667454
Bloom,MgO,Al2O3,1.4839643692757478,7.640544976225369,0.06054786998096499
Iron-SI,MgO,Al2O3,3.2190825155789415,3.079848283046813,0.8705828216237353
Iron-SI-P,MgO,Al2O3,4.275443036971542,1.9828638411394022,0.6050271773635744
Oven Slag,MgO,SiO2,6.509776052439091,19.332943623215055,0.1962620794709231
Flow Slag,MgO,SiO2,3.8809422570640826,22.17541570031162,0.1389419195742206
Plate Slag,MgO,SiO2,5.810738712572298,19.02815549828187,0.44209698766483113
Smithing Slag,MgO,SiO2,17.528996922554118,5.5007048888759,0.9211176623058606
Bloom,MgO,SiO2,6.310626207223059,18.954880450500433,0.22311563683088675
Iron-SI,MgO,SiO2,19.517036374114827,15.868899492861082,0.879363557767507
Iron-SI-P,MgO,SiO2,16.987292118944367,13.806496346573836,0.7180016546414774
Oven Slag,MgO,K2O,2.257628230762481,-0.22898304311898876,0.4780389026737404
Flow Slag,MgO,K2O,1.3866713772070047,0.5122616496786656,0.27745480880278384
Plate Slag,MgO,K2O,1.288941590491751,0.6518667023692932,0.7059858963732262
Smithing Slag,MgO,K2O,2.1489927860081974,-0.2848092854407511,0.7356995829434944
Bloom,MgO,K2O,0.40683422835169664,2.2876559150511264,0.021433163121900176
Iron-SI,MgO,K2O,1.0618578012002766,0.6837523897544704,0.8109396219073326
Iron-SI-P,MgO,K2O,0.9378259903977879,0.9335162250605845,0.4781299555593195
Oven Slag,MgO,CaO,1.91809850276152,0.7213770537377151,0.6457883411600737
Flow Slag,MgO,CaO,0.28707428867176155,2.700332746126847,0.018573921440566726
Plate Slag,MgO,CaO,0.8601391738659312,1.1522303923872081,0.5278235308586876
Smithing Slag,MgO,CaO,1.1765191942257582,1.2960123608205532,0.2622940298228838
Bloom,MgO,CaO,0.17458260742763815,4.245396524177415,0.002440421546252774
Iron-SI,MgO,CaO,3.0894583007064265,1.6432065047858142,0.8613014646314884
Iron-SI-P,MgO,CaO,0.7814013218825936,2.7558508992288417,0.1307482109752618
Oven Slag,MgO,FeO,-20.281162378059765,78.15081768233468,0.5373870569055438
Flow Slag,MgO,FeO,-11.63151775010381,70.99306420509946,0.38498713391118744
Plate Slag,MgO,FeO,-13.955473173659245,74.04677941036907,0.5602483228711265
Smithing Slag,MgO,FeO,-31.56012777512473,94.76822567488085,0.9421688014464067
Bloom,MgO,FeO,-11.675577542960411,59.51019031304134,0.18741495751558163
Iron-SI,MgO,FeO,-28.467200614405822,76.5301654069645,0.9058721893119156
Iron-SI-P,MgO,FeO,-22.76467254375894,75.57801312434894,0.8171250519323209
Oven Slag,MgO,P2O5,-0.0729457106736875,0.44888342486231714,0.01979330162167614
Flow Slag,MgO,P2O5,-0.09977669876573893,0.4790720832348002,0.19429939064418678
Plate Slag,MgO,P2O5,0.06614959657912463,0.2022139723177653,0.09261962188634755
Smithing Slag,MgO,P2O5,-0.1087992223291005,0.34307387402905887,0.5648837469805407
Bloom,MgO,P2O5,1.1130222385455835,-0.016799743707524906,0.12643495148139802
Iron-SI,MgO,P2O5,-0.8313238780743849,1.982056428848654,0.43387445308579503
Iron-SI-P,MgO,P2O5,-1.690509414701775,4.032729220781889,0.2908574789460285
Oven Slag,Al2O3,SiO2,1.87163325641772,15.5181294429289,0.376943162343363
Flow Slag,Al2O3,SiO2,1.1755514116206909,20.57861575456982,0.2130328046990049
Plate Slag,Al2O3,SiO2,1.9769511649638543,13.689945544802406,0.7295754034773811
Smithing Slag,Al2O3,SiO2,2.5115338644334284,9.700484988392581,0.766645996159182
Bloom,Al2O3,SiO2,1.833351648019581,8.592470728183887,0.6848961404193906
Iron-SI,Al2O3,SiO2,5.745750184578382,-0.9080320725362583,0.9071692593631495
Iron-SI-P,Al2O3,SiO2,2.014329179436816,16.799710772688364,0.3050179434683326
Oven Slag,Al2O3,K2O,0.5235116284076393,-0.8485743691331629,0.5972293133258244
Flow Slag,Al2O3,K2O,0.589701591295109,-1.1270498395492163,0.8385212080973115
Plate Slag,Al2O3,K2O,0.3707954642103669,-0.10098418424236,0.8329555308362606
Smithing Slag,Al2O3,K2O,0.38495185101793494,-0.01173747760398447,0.9571042262558526
Bloom,Al2O3,K2O,0.3686816788140048,-0.6717139247137434,0.6401805722974387
Iron-SI,Al2O3,K2O,0.33062860166708974,-0.3367507125127076,0.9358166370759254
Iron-SI-P,Al2O3,K2O,0.2014826175279587,0.5977426858192743,0.6667514356023279
Oven Slag,Al2O3,CaO,0.4123858793517184,0.3764109630844614,0.6935631702642241
Flow Slag,Al2O3,CaO,-0.06592421655357424,3.545204020733343,0.016368514304142007
Plate Slag,Al2O3,CaO,0.2565468271324491,0.5918508027912806,0.669434404182624
Smithing Slag,Al2O3,CaO,0.03326887757496319,2.0025301164261524,0.008503201770562263
Bloom,Al2O3,CaO,0.4989601494542925,-0.1415193138175841,0.7250078337802159
Iron-SI,Al2O3,CaO,0.8301175951312214,-0.5378251123788376,0.7401570389327573
Iron-SI-P,Al2O3,CaO,0.08431479945448243,2.939836857775502,0.04599201746827512
Oven Slag,Al2O3,FeO,-5.1328591015745655,86.12507744323665,0.7997426679309823
Flow Slag,Al2O3,FeO,-3.8740337650342225,77.98852184440204,0.7136816682082132
Plate Slag,Al2O3,FeO,-4.702891895522724,86.58028747326925,0.9070784811840955
Smithing Slag,Al2O3,FeO,-4.813255578149362,88.12112951796674,0.8884743080328384
Bloom,Al2O3,FeO,-4.051171302856592,84.71216366165456,0.8206477747014196
Iron-SI,Al2O3,FeO,-8.344026312353483,100.78178125103173,0.9263665352191157
Iron-SI-P,Al2O3,FeO,-3.403356189755296,75.47364343236283,0.5517824513748633
Oven Slag,Al2O3,P2O5,-0.00015292939896810101,0.3750147819374897,2.021299879675231e-06
Flow Slag,Al2O3,P2O5,-0.010216416832267273,0.39410572339919636,0.03404196988135362
Plate Slag,Al2O3,P2O5,0.03665689109141266,0.051339061892912125,0.40549294470673397
Smithing Slag,Al2O3,P2O5,-0.00923776460718528,0.29707484565860764,0.16510380982034062
Bloom,Al2O3,P2O5,0.262503483866214,-1.287828818217642,0.2557865375452493
Iron-SI,Al2O3,P2O5,-0.22453706492846656,2.5759052816786534,0.3767504478730207
Iron-SI-P,Al2O3,P2O5,-0.14057474752094762,3.402511661299191,0.06076409557639498
Oven Slag,SiO2,K2O,0.0457213167123879,0.8948963123612852,0.04233421832451363
Flow Slag,SiO2,K2O,0.04810406062294364,1.241348983515351,0.036195093077703085
Plate Slag,SiO2,K2O,0.1251164606956396,-1.0278064900438717,0.5080466479326697
