;Sample;Material;Na2O;MgO;Al2O3;SiO2;P2O5;K2O;CaO;MnO;FeO;TiO2
0;MA-200975;Ore;0.120;0.696;4.810;12.151;0.288;1.763;1.068;2.483;76.394;0.228
1;MA-200977;Ore;0.070;0.527;3.269;9.888;0.785;1.160;1.511;6.725;75.901;0.164
2;MA-200978;Oven Slag;0.492;0.875;4.909;23.507;0.667;1.662;2.690;2.701;62.246;0.251
3;MA-200979;Oven Slag;0.112;1.193;6.119;22.600;0.245;2.774;3.141;5.038;58.410;0.367
4;MA-200980;Oven Slag;0.120;1.401;7.025;25.617;0.274;2.976;3.513;5.056;53.624;0.394
5;MA-200981;Oven Slag;0.114;0.510;2.849;21.276;0.239;0.510;1.383;1.185;71.757;0.177
6;MA-200982;Oven Slag;0.684;1.219;6.640;33.423;0.385;1.475;2.331;3.646;49.834;0.364
7;MA-200983;Oven Slag;0.190;0.949;6.065;29.586;0.436;3.105;3.060;7.818;48.379;0.413
8;MA-200984;Smithing Slag;0.764;1.109;5.753;23.356;0.220;2.029;2.531;2.699;61.269;0.272
9;MA-200985;Smithing Slag;0.273;0.665;1.592;17.660;0.229;0.610;3.041;0.283;75.527;0.120
10;MA-200986;Smithing Slag;0.206;0.737;4.249;20.766;0.303;1.875;1.463;2.764;67.398;0.238
11;MA-200987;Smithing Slag;0.222;0.246;0.961;8.549;0.320;0.271;1.392;0.123;87.866;0.049
12;MA-200988-1A;Bloom;0.361;1.054;9.189;25.381;0.934;2.730;4.457;8.122;47.495;0.278
13;MA-200988-1B;Bloom;0.414;1.027;9.341;25.601;1.398;2.753;4.517;7.768;46.919;0.262
14;MA-200988-2B;Bloom;0.313;0.963;8.820;24.990;0.849;2.596;4.251;8.044;48.900;0.274
15;MA-200989;Plate Slag;0.144;1.038;6.046;23.238;0.206;2.704;2.272;4.493;59.499;0.360
16;MA-200990;Plate Slag;0.228;0.415;3.080;19.030;0.145;1.244;1.597;1.504;72.590;0.166
17;MA-200991;Plate Slag;0.174;0.276;1.781;16.204;0.184;0.287;0.860;0.461;79.671;0.102
18;MA-200992;Plate Slag;0.471;1.564;7.980;33.552;0.381;3.058;3.418;6.546;42.629;0.401
19;MA-200994;Plate Slag;0.302;2.531;7.381;26.523;0.213;3.282;2.767;3.539;53.103;0.358
20;MA-200995;Plate Slag;0.418;1.458;9.023;31.249;0.622;3.018;2.437;7.759;43.630;0.387
21;MA-200996;Plate Slag;0.283;1.415;8.360;28.435;0.243;2.739;2.133;3.477;52.572;0.344
22;MA-200998;Plate Slag;0.222;1.322;8.052;27.403;0.283;2.512;2.936;5.590;51.358;0.323
23;MA-200999;Plate Slag;0.369;1.209;5.604;30.865;0.287;1.496;1.608;3.606;54.670;0.287
24;MA-201000;Flow Slag;0.284;1.914;5.803;29.897;0.304;1.691;3.059;4.588;52.126;0.334
25;MA-201001;Flow Slag;0.335;1.565;6.463;31.606;0.325;2.907;3.567;4.624;48.282;0.325
26;MA-201002;Flow Slag;0.222;1.879;6.850;37.099;0.283;1.899;3.556;4.456;43.382;0.374
27;MA-201003;Flow Slag;0.245;2.109;6.307;21.039;0.275;3.107;2.486;3.841;60.276;0.316
28;MA-201004;Flow Slag;0.291;0.745;3.670;26.284;0.356;0.961;2.634;1.382;63.462;0.216
29;MA-201005;Flow Slag;0.264;1.583;8.390;31.845;0.193;4.088;3.886;3.997;45.359;0.396
30;MA-201006;Flow Slag;0.609;1.196;3.744;24.734;0.371;1.227;5.260;0.753;61.857;0.248
31;MA-201008;Flow Slag;0.417;0.742;3.912;22.303;0.437;1.402;2.002;1.626;66.926;0.234
32;MA-201010;Flow Slag;0.385;1.832;8.129;29.691;0.273;4.252;3.432;5.051;46.519;0.435
33;MA-201011;Flow Slag;0.304;1.420;7.304;24.752;0.243;3.226;2.526;3.581;56.237;0.406
34;MA-201012;Flow Slag;0.334;1.476;8.717;28.566;0.566;3.701;2.022;9.253;45.021;0.344
35;MA-201419;Iron-SI;0.145;1.896;9.211;54.453;0.038;2.771;7.541;2.487;21.050;0.407
36;MA-201421;Iron-SI-P;0.929;1.403;5.023;44.282;0.260;1.980;3.919;0.198;41.848;0.156
37;MA-201422;Iron-SI;0.395;0.746;5.550;24.453;2.015;1.464;3.010;0.204;61.807;0.356
38;MA-201423;Iron-SI;0.071;0.178;3.591;21.418;1.766;0.819;2.688;0.250;69.027;0.193
39;MA-201425;Iron-SI-P;0.306;1.019;8.194;25.901;3.699;2.228;3.259;1.015;54.028;0.351
40;MA-201426;Iron-SI-P;0.112;0.249;2.588;20.645;3.436;1.169;4.654;0.888;66.113;0.146
41;MA-201427;Iron-SI-P;0.281;0.400;3.768;21.023;2.371;0.949;1.996;0.283;68.719;0.209
42;MA-201429;Ore;0.054;0.403;2.888;8.826;2.517;0.893;0.229;5.448;78.338;0.403
43;MA-201430;Ore;0.107;0.545;8.713;22.558;0.235;2.801;0.973;3.314;60.209;0.545
44;MA-201431;Ore;0.044;0.263;3.408;9.205;0.340;0.932;0.416;1.184;83.945;0.263
45;MA-201432;Ore;0.065;0.304;5.992;14.545;0.326;1.617;0.684;1.205;74.959;0.304
46;MA-201433;Ore;0.032;0.225;1.829;32.095;0.578;0.278;1.059;0.021;63.658;0.225
47;MA-201434;Ore;0.086;0.696;6.725;18.632;0.257;1.981;0.867;8.888;61.173;0.696
48;MA-201535;Ore;0.159;2.105;4.890;13.544;1.701;1.403;0.744;4.454;68.893;2.105
49;MA-201912;Ore;0.043;0.323;5.277;28.628;0.215;0.754;0.151;0.043;64.243;0.323
50;MA-201914;Ore;0.115;0.356;8.044;48.937;0.524;2.294;0.566;0.995;37.813;0.356
