Material,Sample,Site,Li,Be,S,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb,Mo,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Th,U,Ce*,Eu*
Ore,MA-200975,Eisenberg,28.700,4.150,481.610,7.600,48.120,31.540,7.350,22.970,32.450,143.680,9.850,36.730,101.310,83.280,25.770,36.900,4.760,3.260,1.980,1.600,11.450,697.270,13.560,24.240,3.250,15.860,4.420,1.010,4.850,0.780,4.730,0.960,2.690,0.370,2.400,0.350,1.170,0.360,1.130,5.190,1.640,0.833,1.016
Ore,MA-200977,Eisenberg,18.610,9.660,262.730,6.270,70.220,36.660,14.530,58.070,30.090,87.710,8.270,43.760,68.960,241.860,53.390,23.290,3.040,35.450,1.310,4.420,8.380,1421.890,31.020,42.300,10.690,52.720,13.540,2.990,14.060,1.970,10.570,1.950,5.090,0.610,3.650,0.540,0.680,0.220,0.880,3.710,2.200,0.520,1.013
Oven Slag,MA-200978,Eisenberg,19.330,4.800,376.970,7.890,43.840,30.630,32.220,27.710,369.670,25.050,12.750,51.710,70.500,149.470,25.520,264.240,5.440,2.320,2.460,2.240,6.410,817.920,18.820,32.180,4.420,19.180,4.430,0.860,4.720,0.710,4.250,0.850,2.340,0.330,2.120,0.320,7.850,0.470,2.880,6.780,4.080,0.805,0.878
Oven Slag,MA-200979,Eisenberg,27.490,3.170,238.360,8.740,34.660,27.190,1.600,3.480,24.990,27.920,5.810,0.700,87.030,115.640,25.390,175.660,6.010,0.650,0.980,0.210,7.920,780.070,19.550,34.730,4.550,19.280,4.370,0.910,4.280,0.680,4.190,0.830,2.400,0.340,2.240,0.340,4.820,0.510,0.790,7.110,3.570,0.840,0.986
Oven Slag,MA-200980,Eisenberg,33.880,4.060,231.150,10.430,41.780,34.950,1.580,2.450,33.510,28.130,6.970,1.030,108.170,135.960,27.450,145.650,6.960,0.770,1.180,0.230,10.720,1050.000,21.770,38.790,4.990,22.630,5.520,1.140,4.810,0.730,4.620,0.960,2.740,0.370,2.730,0.370,4.170,0.610,0.890,7.440,4.120,0.849,1.040
Oven Slag,MA-200981,Eisenberg,9.690,0.960,176.170,5.100,12.890,16.490,5.360,18.000,12.130,12.870,3.960,3.880,19.430,48.530,14.930,64.000,2.730,0.500,0.970,0.200,1.630,187.930,11.160,16.470,2.210,9.700,2.270,0.510,2.340,0.350,2.280,0.470,1.380,0.210,1.370,0.190,1.900,0.230,0.850,3.020,1.040,0.753,1.035
Oven Slag,MA-200983,Eisenberg,28.160,10.450,349.270,11.940,60.780,39.620,127.130,247.920,345.920,54.880,10.550,111.890,108.860,253.400,27.750,248.440,7.600,5.300,2.740,3.960,10.630,605.710,26.020,45.300,5.940,27.050,6.100,1.080,5.930,0.860,4.930,0.980,2.840,0.420,2.790,0.430,6.960,0.660,1.580,10.050,8.600,0.831,0.842
Smithing Slag,MA-200984,Eisenberg,18.700,9.630,3164.080,7.690,34.560,36.380,3.940,10.580,30.630,10.420,5.500,2.570,74.410,113.090,24.560,88.780,5.200,4.210,1.660,1.590,6.210,988.410,21.010,39.990,5.630,19.780,4.680,0.980,4.430,0.740,4.210,0.840,2.330,0.300,1.940,0.290,2.370,0.450,2.370,6.530,2.260,0.837,1.010
Smithing Slag,MA-200985,Eisenberg,6.450,0.430,314.130,4.330,20.490,15.500,58.670,409.590,60.580,12.210,3.370,53.760,16.280,96.760,7.570,74.630,3.020,4.300,1.460,2.190,0.760,253.030,6.700,10.270,1.430,6.090,1.330,0.260,1.350,0.200,1.240,0.250,0.770,0.110,0.710,0.120,2.210,0.190,0.600,2.300,0.550,0.756,0.908
Smithing Slag,MA-200986,Eisenberg,10.060,2.140,251.320,5.360,16.650,15.440,71.920,17.120,48.260,22.200,3.700,3.920,53.610,57.410,11.260,70.350,2.940,1.430,1.410,0.750,5.010,250.310,10.080,17.700,2.380,9.500,2.320,0.420,2.080,0.300,1.960,0.390,1.210,0.180,1.190,0.170,1.990,0.260,0.640,4.200,1.370,0.824,0.898
Smithing Slag,MA-200987,Eisenberg,5.880,0.760,1749.540,2.050,11.440,11.140,0.010,934.440,66.260,17.490,2.460,26.950,11.250,55.770,3.040,18.370,1.010,8.000,1.130,0.770,0.770,246.850,3.160,6.320,0.900,2.970,0.660,0.150,0.580,0.090,0.530,0.110,0.320,0.040,0.300,0.050,0.580,0.090,0.580,0.990,0.400,0.851,1.139
Plate Slag,MA-200989,Eisenberg,27.550,9.720,235.990,10.380,33.490,27.770,5.500,3.810,29.420,64.000,6.490,0.910,56.960,136.920,58.920,291.210,6.220,0.620,1.340,0.090,5.340,517.110,24.960,44.760,6.440,30.570,7.950,1.690,9.020,1.400,8.760,1.930,5.380,0.750,4.660,0.680,8.420,0.560,0.810,7.730,6.630,0.804,0.928
Plate Slag,MA-200990,Eisenberg,11.480,1.640,167.610,4.600,11.880,10.340,3.580,3.460,9.450,4.970,3.880,1.490,30.720,51.400,10.320,94.610,2.200,0.330,0.980,0.320,2.710,240.970,7.660,12.470,1.660,7.130,1.720,0.360,1.630,0.260,1.560,0.320,0.940,0.130,0.930,0.140,2.730,0.190,0.450,2.660,0.840,0.797,1.009
Plate Slag,MA-200991,Eisenberg,5.880,0.390,162.570,2.650,3.290,5.410,14.790,62.420,11.900,5.440,2.910,2.850,9.170,22.260,6.700,47.940,1.060,0.230,0.850,0.200,0.750,63.440,5.260,7.860,1.080,4.580,0.970,0.200,1.010,0.160,0.960,0.200,0.570,0.080,0.540,0.080,1.380,0.100,0.720,1.520,0.420,0.750,0.944
Plate Slag,MA-200992,Eisenberg,34.160,10.130,290.890,12.130,44.440,36.770,3.800,2.720,18.640,49.160,9.760,1.450,110.110,310.930,33.220,324.420,8.510,1.120,1.540,0.130,11.720,941.290,29.210,51.530,6.830,28.250,6.310,1.170,6.120,0.930,5.600,1.130,3.320,0.460,3.190,0.470,9.140,0.740,1.300,11.670,6.780,0.832,0.883
Plate Slag,MA-200994,Eisenberg,49.670,8.430,320.490,11.720,34.570,30.840,3.960,4.500,7.140,32.910,6.790,2.670,98.420,103.770,48.980,248.050,7.030,0.630,1.260,0.190,8.800,473.550,25.490,46.340,6.020,26.300,6.710,1.360,7.030,1.140,7.100,1.530,4.480,0.650,4.260,0.630,6.780,0.620,1.000,8.960,6.010,0.853,0.925
