;Material;type;Na2O;MgO;Al2O3;SiO2;P2O5;K2O;CaO;MnO;FeO;TiO2
0;Bloom;mean;0.370;1.015;9.147;25.363;1.113;2.701;4.423;7.943;47.654;0.270
1;Bloom;min;0.231;0.772;7.721;22.336;0.633;2.114;3.518;7.193;44.378;0.161
2;Bloom;max;0.502;1.177;10.316;27.305;1.650;3.110;4.842;8.799;54.470;0.352
3;Bloom;std;0.064;0.093;0.558;1.237;0.290;0.257;0.327;0.410;2.497;0.044
4;Flow Slag;mean;0.335;1.497;6.299;27.983;0.330;2.587;3.130;3.923;53.586;0.330
5;Flow Slag;min;0.222;0.742;3.670;21.039;0.193;0.961;2.002;0.753;43.382;0.216
6;Flow Slag;max;0.609;2.109;8.717;37.099;0.566;4.252;5.260;9.253;66.926;0.435
7;Flow Slag;std;0.107;0.453;1.852;4.716;0.103;1.192;0.954;2.298;8.492;0.073
8;Iron-SI;mean;0.173;0.900;5.978;33.438;1.234;1.640;4.424;1.004;50.904;0.305
9;Iron-SI;min;0.010;0.010;2.640;14.143;0.010;0.480;1.312;0.010;1.851;0.040
10;Iron-SI;max;0.860;2.602;12.177;67.561;3.942;3.850;10.328;5.070;76.358;0.680
11;Iron-SI;std;0.207;0.843;2.909;17.551;1.064;0.994;2.807;1.294;25.222;0.179
12;Iron-SI-P;mean;0.402;0.834;5.550;27.979;2.622;1.716;3.408;0.662;56.586;0.241
13;Iron-SI-P;min;0.020;0.020;1.210;11.792;0.020;0.160;0.770;0.010;14.839;0.010
14;Iron-SI-P;max;1.710;2.713;18.210;66.233;8.251;3.865;6.447;2.229;75.900;0.842
15;Iron-SI-P;std;0.434;0.697;3.829;13.965;2.184;0.945;1.505;0.576;17.543;0.195
16;Ore;mean;0.081;0.586;5.077;19.910;0.706;1.443;0.752;3.160;67.775;0.510
17;Ore;min;0.032;0.225;1.829;8.826;0.215;0.278;0.151;0.021;37.813;0.164
18;Ore;max;0.159;2.105;8.713;48.937;2.517;2.801;1.511;8.888;83.945;2.105
19;Ore;std;0.040;0.530;2.171;12.422;0.738;0.739;0.402;2.914;12.626;0.551
20;Oven Slag;mean;0.286;1.024;5.601;26.002;0.374;2.084;2.686;4.241;57.375;0.328
21;Oven Slag;min;0.112;0.510;2.849;21.276;0.239;0.510;1.383;1.185;48.379;0.177
22;Oven Slag;max;0.684;1.401;7.025;33.423;0.667;3.105;3.513;7.818;71.757;0.413
23;Oven Slag;std;0.244;0.317;1.526;4.652;0.164;1.034;0.756;2.287;8.758;0.093
24;Plate Slag;mean;0.290;1.248;6.367;26.278;0.285;2.260;2.225;4.108;56.636;0.303
25;Plate Slag;min;0.144;0.276;1.781;16.204;0.145;0.287;0.860;0.461;42.629;0.102
26;Plate Slag;max;0.471;2.531;9.023;33.552;0.622;3.282;3.418;7.759;79.671;0.401
27;Plate Slag;std;0.111;0.662;2.500;5.787;0.144;1.016;0.784;2.310;12.346;0.103
28;Smithing Slag;mean;0.366;0.689;3.138;17.583;0.268;1.196;2.107;1.467;73.015;0.170
29;Smithing Slag;min;0.206;0.246;0.961;8.549;0.220;0.271;1.392;0.123;61.269;0.049
30;Smithing Slag;max;0.764;1.109;5.753;23.356;0.320;2.029;3.041;2.764;87.866;0.272
31;Smithing Slag;std;0.267;0.354;2.251;6.457;0.051;0.886;0.812;1.461;11.495;0.104
