;Material;type;Li;Be;S;Sc;V;Cr;Co;Ni;Cu;Zn;Ga;As;Rb;Sr;Y;Zr;Nb;Mo;Sn;Sb;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;W;Th;U;Ce*;Eu*
0;Bloom;mean;24.876;11.378;305.310;8.837;45.741;22.993;19.697;6.461;5.071;18.282;7.464;1.153;92.717;225.551;45.159;70.607;6.037;1.656;0.908;;7.576;3520.224;19.614;41.608;4.998;21.612;5.869;1.634;8.581;1.375;8.276;1.697;4.686;0.641;4.122;0.590;1.980;0.453;0.841;5.410;10.578;0.958;1.034
1;Bloom;min;14.000;1.400;170.900;6.000;14.500;1.800;0.010;0.010;0.010;0.010;4.700;0.010;9.900;26.300;18.200;19.500;1.000;1.000;0.100;;0.900;429.800;2.600;5.500;0.600;3.000;1.000;0.200;1.700;0.300;2.500;0.600;2.100;0.400;2.800;0.400;0.700;0.100;0.100;0.800;1.400;0.827;0.679
2;Bloom;max;38.400;24.200;797.500;13.000;197.000;82.700;928.000;328.700;117.500;149.100;11.600;50.900;172.600;449.200;82.600;142.700;11.500;7.000;1.600;;12.700;6654.700;40.200;74.300;9.800;46.000;12.400;3.300;18.200;2.800;16.900;3.300;8.300;1.000;5.900;0.900;4.200;0.900;1.500;12.100;18.500;1.072;1.228
3;Bloom;std;4.940;3.890;128.796;1.443;27.232;17.146;120.712;42.721;15.171;17.531;1.071;6.600;31.108;80.076;9.915;20.839;1.890;0.811;0.308;;2.435;1283.493;6.374;13.362;1.601;7.029;1.847;0.517;2.571;0.388;2.159;0.406;0.957;0.108;0.662;0.114;0.604;0.133;0.265;1.805;3.290;0.063;0.086
4;Flow Slag;mean;24.956;5.812;300.791;9.870;33.866;30.877;7.295;7.898;18.865;38.413;6.562;5.012;75.990;145.911;37.809;214.100;6.065;0.899;1.237;0.151;7.008;564.630;23.370;39.413;5.315;23.337;5.674;1.165;5.919;0.912;5.603;1.158;3.331;0.471;3.108;0.448;5.948;0.529;0.982;7.110;5.261;0.804;0.947
5;Flow Slag;min;12.580;1.710;233.800;5.430;13.270;14.450;0.870;2.520;7.810;12.130;5.620;0.490;30.010;71.240;13.630;92.390;4.130;0.230;0.760;0.000;1.950;363.160;13.650;22.920;3.020;12.830;2.750;0.550;2.790;0.420;2.470;0.480;1.370;0.190;1.350;0.190;2.710;0.360;0.700;4.510;1.210;0.747;0.854
6;Flow Slag;max;37.050;14.820;390.900;12.710;47.900;59.630;19.150;17.610;69.320;128.510;8.830;30.860;139.980;303.350;67.000;349.350;8.390;2.370;1.760;0.460;18.050;1055.290;30.810;61.800;7.990;38.820;10.440;2.160;11.690;1.730;10.100;2.070;5.800;0.790;4.970;0.710;9.380;0.740;1.870;9.640;16.350;0.914;1.056
7;Flow Slag;std;8.688;3.708;46.219;2.759;12.211;14.546;5.992;5.446;17.805;31.757;0.978;8.936;32.167;67.390;17.333;85.159;1.557;0.646;0.319;0.133;4.597;227.217;6.527;12.135;1.598;7.745;2.166;0.457;2.616;0.400;2.372;0.504;1.432;0.200;1.243;0.184;2.233;0.139;0.320;2.129;4.250;0.047;0.056
8;Iron-SI;mean;28.366;5.451;1361.015;14.280;62.673;57.996;4.437;14.214;4.672;4.925;7.404;3.729;69.692;331.184;75.531;164.301;6.582;0.678;1.604;0.213;5.500;990.289;45.308;87.102;10.242;42.038;9.357;2.161;10.704;1.573;9.989;2.061;6.124;0.836;5.337;0.804;4.282;0.644;4.282;7.160;6.223;0.937;0.986
9;Iron-SI;min;20.100;3.400;323.350;5.820;0.310;0.010;0.060;0.010;0.470;1.140;0.420;0.010;26.660;49.490;29.360;112.560;1.210;0.010;0.010;0.010;1.420;227.230;19.830;40.320;4.970;22.350;4.650;0.870;4.430;0.770;4.930;0.790;2.610;0.280;1.990;0.240;3.050;0.390;3.050;4.160;1.030;0.830;0.534
